base_mission_id,category,difficulty_index,failure,baseline_held_out_probability_failure,augmented_held_out_probability_failure,dose_can_do,dose_no_human_review,dose_requires_tool_access
sbov1-information_retrieval-10,information_retrieval,14.07529835,False,0.13037469170500277,0.184150657171241,3,3,3
sbov1-information_retrieval-11,information_retrieval,14.0527633,False,0.12083237625549163,0.10811679645835587,2,2,3
sbov1-intake_classification-04,intake_classification,14.0862584,False,0.19005627856120225,0.10958388983621319,3,1,1
sbov1-intake_classification-05,intake_classification,14.06999109,False,0.18751686251634792,0.1751608941756743,3,1,3
sbov1-intake_classification-06,intake_classification,14.0862584,False,0.14260530781044234,0.2521412680214356,3,0,3
sbov1-intake_classification-07,intake_classification,14.0862584,False,0.13654507039922226,0.1713866405289513,2,3,2
sbov1-intake_classification-08,intake_classification,14.06450932,False,0.13983321691172176,0.13981269356961848,2,2,3
sbov1-intake_classification-09,intake_classification,14.10185806,True,0.14462170676682337,0.0007684088910005104,0,3,0
sbov1-intake_classification-10,intake_classification,14.06788627,False,0.14026065682588224,0.15052338411283958,2,1,3
sbov1-policy_interpretation-04,policy_interpretation,14.21701222,False,0.1409106845959381,0.05091238649775008,2,0,2
sbov1-policy_interpretation-06,policy_interpretation,14.34674742,False,0.16138814833845816,0.15778276813513367,1,0,3
sbov1-policy_interpretation-07,policy_interpretation,14.24252381,False,0.15181291158176383,0.14550721970038347,2,1,2
sbov1-policy_interpretation-09,policy_interpretation,14.2234514,False,0.1073760938828249,0.12503043238319658,1,1,3
sbov1-policy_interpretation-10,policy_interpretation,14.21959287,False,0.1488074656889225,0.23064071446036494,2,3,2
sbov1-policy_interpretation-11,policy_interpretation,14.23239714,False,0.14287947433367318,0.004487413683614284,0,0,1
sbov1-policy_interpretation-12,policy_interpretation,14.2336686,False,0.13163898016496997,0.12122834344984317,0,0,1
sbov1-quality_verification-04,quality_verification,15.45929188,True,0.41240182672160736,0.4337374030971799,3,2,3
sbov1-quality_verification-05,quality_verification,15.46806771,True,0.4147261408385963,0.4360914445392419,3,2,3
sbov1-quality_verification-07,quality_verification,15.47373098,True,0.6330966377460404,0.6103538472046616,3,1,3
sbov1-quality_verification-08,quality_verification,15.4499936,True,0.4099433960919991,0.47047432570353287,3,3,3
sbov1-quality_verification-09,quality_verification,15.45929188,True,0.41240182672160736,0.42337072795946956,1,0,3
sbov1-quality_verification-10,quality_verification,15.47373098,False,0.6980137158041682,0.5997016957750747,2,0,2
sbov1-quality_verification-12,quality_verification,15.47373098,True,0.4162281054470193,0.43240996721129543,2,1,3
sbov1-record_preparation-05,record_preparation,17.52536203,True,0.9047257123328504,0.8918770493221029,1,0,3
sbov1-record_preparation-06,record_preparation,17.50289149,True,0.9028406009381721,0.9254001441735742,3,2,3
sbov1-record_preparation-07,record_preparation,17.51394326,True,0.8951836040875223,0.8936368520758424,3,1,3
sbov1-record_preparation-08,record_preparation,17.50052748,True,0.8830359595639388,0.9040337327674108,3,3,3
sbov1-record_preparation-10,record_preparation,18.90763944,True,0.9722975724841995,0.973919798584552,3,2,3
sbov1-record_preparation-11,record_preparation,17.52706139,True,0.896468625294597,0.8949324980571548,3,1,3
sbov1-record_preparation-12,record_preparation,18.65881709,True,0.9639597917770586,0.9702848602735342,2,2,3
