onet_id,onet_title,okz2,okz_name,group_employed,group_share
11-9199.10,Wind Energy Development Managers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-1021.00,"Buyers and Purchasing Agents, Farm Products",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-1031.00,"Claims Adjusters, Examiners, and Investigators",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-1032.00,"Insurance Appraisers, Auto Damage",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-1041.00,Compliance Officers,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-1041.01,Environmental Compliance Inspectors,32,Средний медицинский персонал здравоохранения,3056626,0.041059
13-1041.03,Equal Opportunity Representatives and Officers,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
13-1041.04,Government Property Inspectors and Investigators,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-1041.06,Coroners,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
13-1041.07,Regulatory Affairs Specialists,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
13-1041.08,Customs Brokers,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-1051.00,Cost Estimators,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-1071.00,Human Resources Specialists,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
13-1075.00,Labor Relations Specialists,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
13-1081.00,Logisticians,21,Специалисты в области науки и техники,3818533,0.051293
13-1081.01,Logistics Engineers,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-1081.02,Logistics Analysts,21,Специалисты в области науки и техники,3818533,0.051293
13-1082.00,Project Management Specialists,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
13-1111.00,Management Analysts,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-1121.00,"Meeting, Convention, and Event Planners",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-1131.00,Fundraisers,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-1151.00,Training and Development Specialists,23,Специалисты в области образования,4976657,0.066850
13-1161.00,Market Research Analysts and Marketing Specialists,42,Служащие сферы обслуживания населения,585622,0.007866
13-1161.01,Search Marketing Strategists,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-1199.00,"Business Operations Specialists, All Other",34,"Средний специальный персонал в области правовой, социальной работы, культуры, спорта и родственных занятий",919166,0.012347
13-1199.04,Business Continuity Planners,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-1199.05,Sustainability Specialists,21,Специалисты в области науки и техники,3818533,0.051293
13-1199.06,Online Merchants,12,Управляющие в корпоративном секторе и в других организациях,672495,0.009033
13-1199.07,Security Management Specialists,54,"Работники служб, осуществляющих охрану граждан и собственности",2203561,0.029600
13-2011.00,Accountants and Auditors,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-2022.00,Appraisers of Personal and Business Property,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-2023.00,Appraisers and Assessors of Real Estate,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-2031.00,Budget Analysts,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-2041.00,Credit Analysts,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-2051.00,Financial and Investment Analysts,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-2052.00,Personal Financial Advisors,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-2053.00,Insurance Underwriters,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-2054.00,Financial Risk Specialists,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-2061.00,Financial Examiners,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-2071.00,Credit Counselors,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-2072.00,Loan Officers,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
13-2082.00,Tax Preparers,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-2099.00,"Financial Specialists, All Other",24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-2099.01,Financial Quantitative Analysts,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
13-2099.04,"Fraud Examiners, Investigators and Analysts",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
15-1211.00,Computer Systems Analysts,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1211.01,Health Informatics Specialists,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1212.00,Information Security Analysts,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1221.00,Computer and Information Research Scientists,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1231.00,Computer Network Support Specialists,35,Специалисты-техники в области информационно-коммуникационных технологий (ИКТ),259808,0.003490
15-1232.00,Computer User Support Specialists,35,Специалисты-техники в области информационно-коммуникационных технологий (ИКТ),259808,0.003490
15-1241.00,Computer Network Architects,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1241.01,Telecommunications Engineering Specialists,35,Специалисты-техники в области информационно-коммуникационных технологий (ИКТ),259808,0.003490
15-1242.00,Database Administrators,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1243.00,Database Architects,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1243.01,Data Warehousing Specialists,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1244.00,Network and Computer Systems Administrators,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1251.00,Computer Programmers,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1252.00,Software Developers,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1253.00,Software Quality Assurance Analysts and Testers,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1254.00,Web Developers,35,Специалисты-техники в области информационно-коммуникационных технологий (ИКТ),259808,0.003490
15-1255.00,Web and Digital Interface Designers,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1255.01,Video Game Designers,21,Специалисты в области науки и техники,3818533,0.051293
15-1299.01,Web Administrators,35,Специалисты-техники в области информационно-коммуникационных технологий (ИКТ),259808,0.003490
15-1299.02,Geographic Information Systems Technologists and Technicians,21,Специалисты в области науки и техники,3818533,0.051293
15-1299.03,Document Management Specialists,34,"Средний специальный персонал в области правовой, социальной работы, культуры, спорта и родственных занятий",919166,0.012347
15-1299.04,Penetration Testers,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1299.05,Information Security Engineers,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1299.06,Digital Forensics Analysts,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1299.07,Blockchain Engineers,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1299.08,Computer Systems Engineers/Architects,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-1299.09,Information Technology Project Managers,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-2011.00,Actuaries,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
15-2021.00,Mathematicians,21,Специалисты в области науки и техники,3818533,0.051293
15-2031.00,Operations Research Analysts,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
15-2041.00,Statisticians,25,Специалисты по информационно-коммуникационным технологиям (ИКТ),1376419,0.018489
15-2041.01,Biostatisticians,21,Специалисты в области науки и техники,3818533,0.051293
15-2051.00,Data Scientists,21,Специалисты в области науки и техники,3818533,0.051293
15-2051.01,Business Intelligence Analysts,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
15-2051.02,Clinical Data Managers,13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
15-2099.00,"Mathematical Science Occupations, All Other",21,Специалисты в области науки и техники,3818533,0.051293
15-2099.01,Bioinformatics Technicians,21,Специалисты в области науки и техники,3818533,0.051293
17-1011.00,"Architects, Except Landscape and Naval",21,Специалисты в области науки и техники,3818533,0.051293
17-1012.00,Landscape Architects,21,Специалисты в области науки и техники,3818533,0.051293
17-1021.00,Cartographers and Photogrammetrists,21,Специалисты в области науки и техники,3818533,0.051293
17-1022.00,Surveyors,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-2011.00,Aerospace Engineers,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-2021.00,Agricultural Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2031.00,Bioengineers and Biomedical Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2041.00,Chemical Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2051.00,Civil Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2051.01,Transportation Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2051.02,Water/Wastewater Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2061.00,Computer Hardware Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2071.00,Electrical Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2072.00,"Electronics Engineers, Except Computer",21,Специалисты в области науки и техники,3818533,0.051293
17-2072.01,Radio Frequency Identification Device Specialists,21,Специалисты в области науки и техники,3818533,0.051293
17-2081.00,Environmental Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",21,Специалисты в области науки и техники,3818533,0.051293
17-2111.02,Fire-Prevention and Protection Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2112.00,Industrial Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2112.01,Human Factors Engineers and Ergonomists,21,Специалисты в области науки и техники,3818533,0.051293
17-2112.02,Validation Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2112.03,Manufacturing Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2121.00,Marine Engineers and Naval Architects,21,Специалисты в области науки и техники,3818533,0.051293
17-2131.00,Materials Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2141.00,Mechanical Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2141.01,Fuel Cell Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2141.02,Automotive Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",21,Специалисты в области науки и техники,3818533,0.051293
17-2161.00,Nuclear Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2171.00,Petroleum Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2199.00,"Engineers, All Other",21,Специалисты в области науки и техники,3818533,0.051293
17-2199.03,"Energy Engineers, Except Wind and Solar",31,Специалисты-техники в области науки и техники,3597016,0.048317
17-2199.05,Mechatronics Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2199.06,Microsystems Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2199.07,Photonics Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2199.08,Robotics Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2199.09,Nanosystems Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2199.10,Wind Energy Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-2199.11,Solar Energy Systems Engineers,21,Специалисты в области науки и техники,3818533,0.051293
17-3011.00,Architectural and Civil Drafters,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3012.00,Electrical and Electronics Drafters,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3013.00,Mechanical Drafters,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3022.00,Civil Engineering Technologists and Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3024.01,Robotics Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3025.00,Environmental Engineering Technologists and Technicians,71,"Рабочие, занятые в строительстве, и рабочие родственных занятий (за исключением электриков)",2412726,0.032409
17-3026.00,Industrial Engineering Technologists and Technicians,21,Специалисты в области науки и техники,3818533,0.051293
17-3026.01,Nanotechnology Engineering Technologists and Technicians,21,Специалисты в области науки и техники,3818533,0.051293
17-3027.00,Mechanical Engineering Technologists and Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3027.01,Automotive Engineering Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3028.00,Calibration Technologists and Technicians,73,"Рабочие, занятые изготовлением прецизионных инструментов и приборов, рабочие художественных промыслов и полиграфического производства",311003,0.004178
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3029.01,Non-Destructive Testing Specialists,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3029.08,Photonics Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
17-3031.00,Surveying and Mapping Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
19-1011.00,Animal Scientists,21,Специалисты в области науки и техники,3818533,0.051293
19-1012.00,Food Scientists and Technologists,31,Специалисты-техники в области науки и техники,3597016,0.048317
19-1013.00,Soil and Plant Scientists,21,Специалисты в области науки и техники,3818533,0.051293
19-1021.00,Biochemists and Biophysicists,21,Специалисты в области науки и техники,3818533,0.051293
19-1022.00,Microbiologists,31,Специалисты-техники в области науки и техники,3597016,0.048317
19-1023.00,Zoologists and Wildlife Biologists,21,Специалисты в области науки и техники,3818533,0.051293
19-1029.01,Bioinformatics Scientists,21,Специалисты в области науки и техники,3818533,0.051293
19-1029.02,Molecular and Cellular Biologists,21,Специалисты в области науки и техники,3818533,0.051293
19-1029.03,Geneticists,21,Специалисты в области науки и техники,3818533,0.051293
19-1029.04,Biologists,21,Специалисты в области науки и техники,3818533,0.051293
19-1031.00,Conservation Scientists,21,Специалисты в области науки и техники,3818533,0.051293
19-1031.02,Range Managers,21,Специалисты в области науки и техники,3818533,0.051293
19-1031.03,Park Naturalists,51,Работники сферы индивидуальных услуг,3379517,0.045396
19-1032.00,Foresters,31,Специалисты-техники в области науки и техники,3597016,0.048317
19-1041.00,Epidemiologists,21,Специалисты в области науки и техники,3818533,0.051293
19-1042.00,"Medical Scientists, Except Epidemiologists",21,Специалисты в области науки и техники,3818533,0.051293
19-2011.00,Astronomers,21,Специалисты в области науки и техники,3818533,0.051293
19-2012.00,Physicists,21,Специалисты в области науки и техники,3818533,0.051293
19-2021.00,Atmospheric and Space Scientists,31,Специалисты-техники в области науки и техники,3597016,0.048317
19-2031.00,Chemists,21,Специалисты в области науки и техники,3818533,0.051293
19-2032.00,Materials Scientists,21,Специалисты в области науки и техники,3818533,0.051293
19-2041.00,"Environmental Scientists and Specialists, Including Health",21,Специалисты в области науки и техники,3818533,0.051293
19-2041.01,Climate Change Policy Analysts,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
19-2041.02,Environmental Restoration Planners,21,Специалисты в области науки и техники,3818533,0.051293
19-2041.03,Industrial Ecologists,21,Специалисты в области науки и техники,3818533,0.051293
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",31,Специалисты-техники в области науки и техники,3597016,0.048317
19-2043.00,Hydrologists,21,Специалисты в области науки и техники,3818533,0.051293
19-2099.01,Remote Sensing Scientists and Technologists,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
19-3011.00,Economists,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
19-3011.01,Environmental Economists,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
19-3022.00,Survey Researchers,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
19-3032.00,Industrial-Organizational Psychologists,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
19-3033.00,Clinical and Counseling Psychologists,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
19-3034.00,School Psychologists,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
19-3039.02,Neuropsychologists,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
19-3039.03,Clinical Neuropsychologists,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
19-3041.00,Sociologists,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
19-3051.00,Urban and Regional Planners,21,Специалисты в области науки и техники,3818533,0.051293
19-3091.00,Anthropologists and Archeologists,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
19-3092.00,Geographers,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
19-3093.00,Historians,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
19-3094.00,Political Scientists,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
19-3099.00,"Social Scientists and Related Workers, All Other",24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
19-3099.01,Transportation Planners,21,Специалисты в области науки и техники,3818533,0.051293
19-4012.00,Agricultural Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
19-4012.01,Precision Agriculture Technicians,21,Специалисты в области науки и техники,3818533,0.051293
19-4013.00,Food Science Technicians,75,"Рабочие пищевой, деревообрабатывающей, текстильной и швейной промышленности и рабочие родственных занятий",1641286,0.022047
19-4021.00,Biological Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
19-4031.00,Chemical Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
19-4042.00,"Environmental Science and Protection Technicians, Including Health",21,Специалисты в области науки и техники,3818533,0.051293
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",31,Специалисты-техники в области науки и техники,3597016,0.048317
19-4044.00,Hydrologic Technicians,21,Специалисты в области науки и техники,3818533,0.051293
19-4051.00,Nuclear Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
19-4051.02,Nuclear Monitoring Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
19-4061.00,Social Science Research Assistants,23,Специалисты в области образования,4976657,0.066850
19-4071.00,Forest and Conservation Technicians,62,Товарные производители лесной и рыбной продукции и охотники,109832,0.001475
19-4092.00,Forensic Science Technicians,33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
19-4099.01,Quality Control Analysts,75,"Рабочие пищевой, деревообрабатывающей, текстильной и швейной промышленности и рабочие родственных занятий",1641286,0.022047
19-4099.03,Remote Sensing Technicians,31,Специалисты-техники в области науки и техники,3597016,0.048317
19-5011.00,Occupational Health and Safety Specialists,21,Специалисты в области науки и техники,3818533,0.051293
19-5012.00,Occupational Health and Safety Technicians,32,Средний медицинский персонал здравоохранения,3056626,0.041059
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
21-1013.00,Marriage and Family Therapists,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
21-1014.00,Mental Health Counselors,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
21-1015.00,Rehabilitation Counselors,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
21-1019.00,"Counselors, All Other",33,Средний специальный персонал по экономической и административной деятельности,3227264,0.043351
21-1021.00,"Child, Family, and School Social Workers",26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
21-1022.00,Healthcare Social Workers,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
21-1023.00,Mental Health and Substance Abuse Social Workers,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
21-1029.00,"Social Workers, All Other",26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
21-1091.00,Health Education Specialists,24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
21-1092.00,Probation Officers and Correctional Treatment Specialists,54,"Работники служб, осуществляющих охрану граждан и собственности",2203561,0.029600
21-1093.00,Social and Human Service Assistants,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
21-1094.00,Community Health Workers,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
21-1099.00,"Community and Social Service Specialists, All Other",24,Специалисты в сфере бизнеса и администрирования,5033104,0.067608
21-2011.00,Clergy,26,"Специалисты в области права, гуманитарных областей и культуры",3694337,0.049625
21-2021.00,"Directors, Religious Activities and Education",34,"Средний специальный персонал в области правовой, социальной работы, культуры, спорта и родственных занятий",919166,0.012347
23-1011.00,Lawyers,13,Руководители подразделений в сфере производства и специализированных сервисных услуг,1120240,0.015048
23-1012.00,Judicial Law Clerks,34,"Средний специальный персонал в области правовой, социальной работы, культуры, спорта и родственных занятий",919166,0.012347
